Entry #,Event Date,Event Location,Weightclass,FighterAName,FighterBName,AAge,BAge,FighterAWin ,AHometownHero,BHometownHero,AHeight,AReach,BHeight,BReach,ATotalFightsPrior,AWinsPrior,AWinByKOPrior,AWinBySubPrior,AWinByDecPrior,ALossesPrior,ALossByKOPrior,ALossBySubPrior,ALossByDecPrior,ADrawsPrior,ANoContestPrior,BTotalFightsPrior,BWinsPrior,BWinByKO,BWinBySub,BWinByDecision,BLossesPrior,BLossByKO,BLossBySub,BLossByDec,BDrawsPrior,BNoContestPrior,Astance,Bstance,MainCard, MainEvent,ASigStrikesLPM,ASigStrikingAccuracy,ASigStrikesAPM,ASigStrikeDefence,ATDAvg,ATDAcc,ATDDef,ASubAvg,BSigStrikesLPM,BSigStrikingAccuracy,BSigStrikesAPM,BSigStrikeDefence,BTDAvg,BTDAcc,BTDDef,BSubAvg,"Date Career 
Stats Entered",AgeDiff,HeightDiff,ReachDiff,AWinPercentage,BWinPercentage,AApeFactor,BApeFactor,ApeDiff,AOrthodox,ASouthpaw,ASwitch,BOrthodox,BSouthpaw,BSwitch,OrthOrth,OrthSouth,OrthSwitch,SouthOrth,SouthSouth,SouthSwitch,SwitchOrth,SwitchSouth,SwitchSwitch,ADamTakenPM,ADamInflictedPM
21,1/25/20,"Raleigh, North Carolina, USA",Light Heavyweight,Jamahal Hill,Darko Stosic,28,28,1,0,0,76,79,72,76,6,6,3,0,3,0,0,0,0,0,0,16,13,8,1,4,3,1,0,2,0,0,Southpaw,Orthodox,1,0,7.92,52%,2.82,50%,0,0%,53%,0,2.61,45%,4.04,58%,3.42,50%,83%,0,3/10/20,0,4,3,1,0.8125,3,4,-1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.21,3.88
22,1/18/20,"Las Vegas, Nevada, USA",Welterweight,Donald Cerrone,Conor McGregor,36,31,0,0,0,73,73,69,74,50,36,10,17,9,13,6,1,6,0,1,25,21,18,1,2,4,0,4,0,0,0,Orthodox,Southpaw,1,1,4.33,46%,4.27,53%,1.21,36%,73%,1.3,5.43,49%,4.4,55%,0.75,62%,70%,0,3/10/20,5,4,-1,0.72,0.84,0,5,-5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1.16,-0.07
23,1/18/20,"Las Vegas, Nevada, USA",Women's Bantamweight,Holly Holm,Raquel Pennington,38,31,1,0,0,68,69,67,67,17,12,8,0,4,5,1,1,3,0,0,18,10,1,3,6,8,1,1,6,0,0,Southpaw,Orthodox,1,0,2.75,35%,2.8,57%,0.5,27%,76%,0.1,3.32,46%,3.21,63%,1.13,27%,67%,0.8,3/10/20,7,1,2,0.7059,0.5556,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.52,-0.46
24,1/18/20,"Las Vegas, Nevada, USA",Heavyweight,Maurice Greene,Aleksei Oleinik,33,42,0,0,0,79,80,74,80,11,8,2,4,2,3,1,0,2,0,0,71,57,8,45,4,13,7,2,4,1,0,Not Listed,Orthodox,1,0,4.19,44%,3.43,54%,0,0%,33%,0.5,3.08,50%,3.25,49%,3.01,46%,20%,2.8,3/10/20,-9,5,0,0.7273,0.8028,1,6,-5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.35,0.94
25,1/18/20,"Las Vegas, Nevada, USA",Bantamweight,Brian Kelleher,Ode Osbourne,33,28,1,0,0,66,66,67,73,29,19,7,8,4,10,1,6,3,0,0,11,8,3,4,1,2,0,2,1,0,1,Switch,Southpaw,1,0,4.87,45%,5.83,54%,1.47,29%,84%,0.9,3.88,51%,2.95,43%,2.01,100%,66%,2,3/10/20,5,-1,-7,0.6552,0.7273,0,6,-6,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.95,1.92
26,1/18/20,"Las Vegas, Nevada, USA",Lightweight,Anthony Pettis,Diego Ferreira,33,35,0,0,0,70,72,69,74,31,22,11,7,4,9,2,1,6,0,0,18,16,3,6,7,2,1,0,1,0,0,Orthodox,Orthodox,1,0,2.97,46%,3.48,53%,0.67,54%,58%,1.2,5.07,36%,3.11,61%,1.04,27%,70%,1,3/10/20,-2,1,-2,0.7097,0.8889,2,5,-3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.59,-0.14
27,12/21/19,"Busan, South Korea",Featherweight,Chan Sung Jung,Frankie Edgar,32,38,1,1,0,67,72,66,68,20,15,5,8,2,5,3,0,2,0,0,31,23,7,4,12,7,1,0,6,1,0,Orthodox,Orthodox,1,1,4.58,41%,3.73,60%,0.78,41%,77%,0.6,3.6,40%,2.48,68%,2.34,31%,65%,0.3,3/10/20,-6,1,4,0.75,0.7419,5,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.13,2.1
28,12/21/19,"Busan, South Korea",Light Heavyweight,Aleksandar Rakic,Volkan Oezdemir,27,30,0,0,0,76,78,74,75,13,12,9,1,2,1,0,1,0,0,0,20,16,12,1,3,4,1,2,1,0,0,Orthodox,Orthodox,1,0,5.17,52%,2.41,53%,1.2,28%,88%,0.3,4.88,45%,4.14,55%,0.39,22%,80%,0,3/10/20,-3,2,3,0.9231,0.8,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-2.47,1.03
29,12/21/19,"Busan, South Korea",Featherweight,Charles Jourdain,Dooho Choi,24,28,1,0,1,69,69,70,70,11,9,6,3,0,2,0,0,2,0,0,17,14,11,1,2,3,1,0,2,0,0,Switch,Orthodox,1,0,4.85,43%,4.89,49%,0,0%,0%,0,5.32,51%,6.38,53%,0.41,20%,50%,0,3/10/20,-4,-1,-1,0.8182,0.8235,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,-0.43,-1.53
30,12/21/19,"Busan, South Korea",Light Heavyweight,Mike Rodriguez,Da-Un Jung,31,31,0,0,1,76,82,76,78,14,10,8,2,0,3,0,1,2,0,1,14,12,9,2,1,2,0,1,1,0,0,Southpaw,Orthodox,1,0,4.3,52%,3.42,45%,0,0%,38%,0,6.59,43%,7.05,47%,0,0%,83%,1.1,3/10/20,0,0,4,0.7143,0.8571,6,2,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-3.17,-2.75
31,12/21/19,"Busan, South Korea",Middleweight,Jun Yong Park,Marc-Andre Barriault,28,29,1,1,0,70,73,73,74,14,10,5,3,2,4,0,2,2,0,0,14,11,8,0,3,3,0,0,3,0,0,Orthodox,Orthodox,1,0,6.41,47%,4.46,59%,3.04,50%,45%,0,3.53,43%,4.2,58%,0.33,16%,68%,0,3/10/20,-1,-3,-1,0.7143,0.7857,3,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.93,2.21
32,12/21/19,"Busan, South Korea",Bantamweight,Liu Pingyuan,Kyung Ho Kang,26,32,0,0,1,66,72,69,73,20,15,4,6,5,6,3,1,2,0,0,25,16,2,11,3,8,1,1,6,0,1,Orthodox,Orthodox,1,0,2.36,33%,2.99,54%,0.25,20%,56%,1,2.52,44%,2.43,58%,2.53,59%,71%,1.1,3/10/20,-6,-3,-1,0.75,0.64,6,4,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.47,-0.07
33,12/14/19,"Las Vegas, Nevada, USA",Welterweight,Kamaru Usman,Colby Covington,32,31,1,0,0,72,76,71,72,16,15,6,1,8,1,0,1,0,0,0,16,15,2,5,8,1,0,1,0,0,0,Switch,Orthodox,1,1,4.6,52%,2.17,60%,3.44,50%,100%,0.2,4.17,37%,3.02,55%,4.91,51%,78%,0.2,3/24/20,1,1,4,0.9375,0.9375,4,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,-2,1.58
34,12/14/19,"Las Vegas, Nevada, USA",Featherweight,Max Holloway,Alexander Volkanovski,28,31,0,0,0,71,69,66,71,25,21,10,2,9,4,0,1,3,0,0,21,20,11,3,6,1,1,0,0,0,0,Orthodox,Orthodox,1,0,6.66,44%,4.45,62%,0.24,83%,85%,0.4,6.15,57%,3.14,59%,2.16,34%,72%,0.4,3/24/20,-3,5,-2,0.84,0.9524,-2,5,-7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.7,3.52
35,12/14/19,"Las Vegas, Nevada, USA",Women's Bantamweight,Amanda Nunes,Germaine de Randamie,31,35,1,0,0,68,69,69,71,22,18,13,3,2,4,2,1,1,0,0,12,9,4,0,5,3,1,1,1,0,0,Orthodox,Orthodox,1,0,4.34,49%,2.63,55%,2.33,47%,80%,0.7,2.72,47%,2.15,64%,0,0%,71%,0.2,3/24/20,-4,-1,-2,0.8182,0.75,1,2,-1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.09,2.19
36,12/14/19,"Las Vegas, Nevada, USA",Bantamweight,José Aldo,Marlon Moraes,33,31,0,0,0,67,70,66,67,33,28,17,1,10,5,3,1,1,0,0,29,22,10,6,6,6,3,2,1,1,0,Orthodox,Orthodox,1,0,3.47,44%,3.18,65%,0.64,65%,91%,0.1,3.53,39%,3.69,58%,0.46,25%,66%,0.5,3/24/20,2,1,3,0.8485,0.7586,3,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.35,-0.22
37,12/14/19,"Las Vegas, Nevada, USA",Bantamweight,Petr Yan,Urijah Faber,27,40,1,0,0,67,67,66,67,14,13,5,1,7,1,0,0,1,0,0,45,35,10,17,8,10,3,0,7,0,0,Switch,Orthodox,1,0,5.65,46%,3.15,67%,1.73,53%,87%,0.2,2.65,40%,2.59,64%,1.54,30%,58%,0.8,3/24/20,-13,1,0,0.9286,0.7778,0,1,-1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.5,3.06
38,12/7/19,"Washington, DC, USA",Heavyweight,Alistair Overeem,Jairzinho Rozenstuik,39,32,0,0,0,76,80,76,78,63,45,23,17,5,17,13,1,3,0,1,9,9,8,0,1,0,0,0,0,0,0,Orthodox,Orthodox,1,1,3.54,62%,2.15,59%,1.39,53%,73%,0.9,3.72,46%,3.05,32%,0,0%,75%,0,3/24/20,7,0,2,0.7143,1,4,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.57,0.49
39,12/7/19,"Washington, DC, USA",Heavyweight,Ben Rothwell,Stefan Struve,38,32,1,0,0,76,78,81,84,48,36,27,6,3,12,4,2,6,0,0,44,33,8,18,7,11,7,1,3,0,0,Orthodox,Orthodox,1,0,3.34,42%,4.58,46%,0.66,33%,69%,0.3,3.13,47%,4,46%,0.58,50%,55%,1.7,3/24/20,6,-5,-6,0.75,0.75,2,3,-1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.45,-0.66
40,12/7/19,"Washington, DC, USA",Women's Bantamweight,Yana Kunitskaya,Aspen Ladd,30,25,0,0,0,66,68,66,66,17,12,7,1,4,4,1,2,1,0,1,9,8,5,1,2,1,1,0,0,0,0,Orthodox,Orthodox,1,0,5.05,52%,4.12,49%,2.39,53%,20%,0.3,5.22,55%,4.84,46%,2.45,75%,66%,1.2,3/24/20,5,0,2,0.7059,0.8889,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.1,0.21
41,12/7/19,"Washington, DC, USA",Bantamweight,Rob Font,Ricky Simon,32,27,1,0,0,68,71,66,69,20,16,7,4,5,4,0,1,3,0,0,17,15,5,2,8,2,1,1,0,0,0,Orthodox,Orthodox,1,0,5.11,41%,3.89,63%,1.25,36%,50%,0.8,2.96,40%,3.79,65%,6.53,49%,71%,0.2,3/24/20,5,2,2,0.8,0.8824,3,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.93,1.32
42,11/16/19,"Sao Paulo, Sao Paulo, Brazil",Light Heavyweight,Ronaldo Jacare Souza,Jan Blachowicz,39,36,0,1,0,73,72,74,78,34,26,8,14,4,7,3,0,4,0,1,32,24,6,9,9,8,2,1,5,0,0,Orthodox,Orthodox,1,1,2.54,46%,2.81,62%,2.46,38%,60%,1.4,3.45,48%,2.77,54%,1.16,52%,65%,0.3,3/24/20,3,-1,-6,0.7647,0.75,-1,4,-5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.64,-0.23
43,11/16/19,"Sao Paulo, Sao Paulo, Brazil",Lightweight,Charles Oliveira,Jared Gordon,30,31,1,1,0,70,74,69,68,36,27,7,18,2,8,4,3,1,0,1,18,15,6,2,7,3,3,0,0,0,0,Orthodox,Orthodox,1,0,3.27,51%,3.08,54%,2.61,42%,57%,2.8,6.26,54%,3.9,58%,2.98,39%,57%,0,3/24/20,-1,1,6,0.75,0.8333,4,-1,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-3.18,-0.63
44,11/16/19,"Sao Paulo, Sao Paulo, Brazil",Middleweight,Antonio Arroyo,Andre Muniz,30,30,0,1,1,75,73,73,78,11,9,4,4,1,2,0,2,0,0,0,22,18,4,12,2,4,4,0,0,0,0,Orthodox,Southpaw,1,0,3.12,69%,1.87,43%,1.95,41%,44%,0.4,2.27,59%,1.79,46%,2.83,35%,33%,1.4,3/24/20,0,2,-5,0.8182,0.8182,-2,5,-7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.4,1.33
