Entry #,Event Date,Event Location,Weightclass,FighterAName,FighterBName,AAge,BAge,FighterAWin ,AHometownHero,BHometownHero,AHeight,AReach,BHeight,BReach,ATotalFightsPrior,AWinsPrior,AWinByKOPrior,AWinBySubPrior,AWinByDecPrior,ALossesPrior,ALossByKOPrior,ALossBySubPrior,ALossByDecPrior,ADrawsPrior,ANoContestPrior,BTotalFightsPrior,BWinsPrior,BWinByKO,BWinBySub,BWinByDecision,BLossesPrior,BLossByKO,BLossBySub,BLossByDec,BDrawsPrior,BNoContestPrior,Astance,Bstance,MainCard, MainEvent,ASigStrikesLPM,ASigStrikingAccuracy,ASigStrikesAPM,ASigStrikeDefence,ATDAvg,ATDAcc,ATDDef,ASubAvg,BSigStrikesLPM,BSigStrikingAccuracy,BSigStrikesAPM,BSigStrikeDefence,BTDAvg,BTDAcc,BTDDef,BSubAvg,"Date Career 
Stats Entered",AgeDiff,HeightDiff,ReachDiff,AWinPercentage,BWinPercentage,AApeFactor,BApeFactor,ApeDiff,AOrthodox,ASouthpaw,ASwitch,BOrthodox,BSouthpaw,BSwitch,OrthOrth,OrthSouth,OrthSwitch,SouthOrth,SouthSouth,SouthSwitch,SwitchOrth,SwitchSouth,SwitchSwitch,ADamTakenPM,ADamInflictedPM
98,8/31/19,"Shenzhen, Guangdong, China",Welterweight,Elizeu Zaleski dos Santos,Jingliang Li,32,31,0,0,1,71,73,72,71,26,21,14,3,4,5,0,2,3,0,0,21,16,6,5,5,5,0,1,4,0,0,Orthodox,Orthodox,1,0,4.17,39%,3.13,59%,0.65,20%,48%,0.5,4.51,42%,3.69,59%,1.32,39%,59%,0,4/6/20,1,-1,2,0.8077,0.7619,2,-1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.38,0.48
99,8/31/19,"Shenzhen, Guangdong, China",Flyweight,Kai Kara-France,Mark De La Rosa,26,25,1,0,0,64,69,66,65,27,19,9,3,7,7,2,2,3,0,1,13,11,1,6,4,2,0,1,1,0,0,Orthodox,Orthodox,1,0,5.27,38%,3.79,67%,0.6,25%,90%,0,3.28,36%,4.26,53%,0.66,15%,42%,0.2,4/6/20,1,-2,4,0.7037,0.8462,5,-1,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.51,1.01
100,8/31/19,"Shenzhen, Guangdong, China",Welterweight,Derrick Krantz,Kenan Song,31,29,0,0,1,70,72,72,71,35,24,10,11,3,11,3,5,3,0,0,19,14,7,6,1,5,2,0,3,0,0,Orthodox,Orthodox,1,0,2.07,37%,4.03,50%,3.18,50%,0%,0.8,4.3,45%,4.2,56%,0,0%,45%,0,4/6/20,2,-2,1,0.6857,0.7368,2,-1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.27,-2.13
101,8/31/19,"Shenzhen, Guangdong, China",Women's Flyweight,Mizuki Inoue,Yanan Wu,25,22,1,0,1,63,65,68,66,18,13,0,9,4,5,0,0,5,0,0,13,11,7,2,2,2,1,0,1,0,0,Orthodox,Orthodox,1,0,6.2,45%,8.2,54%,0,0%,100%,0,4.79,45%,4.35,52%,0.44,14%,58%,0.4,4/6/20,3,-5,-1,0.7222,0.8462,2,-2,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.41,1.85
102,2/29/20,"Norfolk, Virginia, USA",Flyweight,Joseph Benavidez,Deiveson Figueiredo,35,32,0,0,0,64,65,65,68,33,28,8,9,11,5,1,0,4,0,0,18,17,8,6,3,1,0,0,1,0,0,Southpaw,Orthodox,1,1,3.53,34%,2.55,63%,1.5,30%,65%,0.6,2.54,52%,2.76,52%,1.81,50%,61%,2.4,4/4/20,3,-1,-3,0.8485,0.9444,1,3,-2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.01,0.77
103,2/29/20,"Norfolk, Virginia, USA",Women's Featherweight,Felicia Spencer,Zarah Fairn dos Santos,29,33,1,0,0,66,68,68,72,8,7,1,4,2,1,0,0,1,0,0,9,6,4,0,2,3,0,1,2,0,0,Orthodox,Orthodox,1,0,4.54,55%,6.27,44%,1.36,16%,0%,0.7,1.98,45%,6.61,39%,0,0%,50%,0,4/4/20,-4,-2,-4,0.875,0.6667,2,4,-2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.29,-2.07
104,2/29/20,"Norfolk, Virginia, USA",Light Heavyweight,Ion Cuțelaba,Magomed Ankalaev,26,27,0,0,0,73,75,75,75,20,15,12,2,1,4,0,2,2,0,1,13,12,7,0,5,1,0,1,0,0,0,Southpaw,Orthodox,1,0,5.29,39%,3.26,48%,2.59,71%,80%,0,3.46,56%,1.24,67%,0.68,33%,85%,0,4/4/20,-1,-2,0,0.75,0.9231,2,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.2,4.05
105,2/29/20,"Norfolk, Virginia, USA",Women's Featherweight,Megan Anderson,Norma Dumont,30,29,1,0,0,72,72,67,67,14,10,5,3,2,4,0,2,2,0,0,4,4,0,2,2,0,0,0,0,0,0,Orthodox,Orthodox,1,0,1.82,46%,2.94,38%,0.56,33%,53%,0.6,1.42,31%,1.99,50%,4.27,33%,100%,0,4/4/20,1,5,5,0.7143,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.52,-0.17
106,2/29/20,"Norfolk, Virginia, USA",Featherweight,Darrick Minner,Grant Dawson,29,26,0,0,0,67,69,70,72,34,24,1,21,2,10,2,7,1,0,0,15,14,3,10,1,1,1,0,0,0,0,Orthodox,Switch,1,0,2.3,55%,2.19,39%,1.65,33%,33%,3.3,3.48,48%,2.15,45%,5.09,48%,33%,2.5,4/4/20,3,-3,-3,0.7059,0.9333,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-1.29,0.15
107,3/7/20,"Las Vegas, Nevada, USA",Middleweight,Israel Adesanya,Yoel Romero,30,42,1,0,0,76,80,72,73,18,18,14,0,4,0,0,0,0,0,0,17,13,11,0,2,4,1,0,3,0,0,Switch,Southpaw,1,1,3.96,48%,2.4,65%,0,0%,86%,0.3,3.44,49%,3.05,60%,1.57,30%,78%,0,4/4/20,-12,4,7,1,0.7647,4,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.04,0.91
108,3/7/20,"Las Vegas, Nevada, USA",Women's Strawweight,Joanna Jedrzejczyk,Weili Zhang,32,30,0,0,0,66,65,64,63,19,16,4,1,11,3,1,0,2,0,0,21,20,10,7,3,1,0,0,1,0,0,Orthodox,Switch,1,0,6.3,48%,3.08,64%,0.28,62%,81%,0.1,6.38,45%,4.43,53%,1.26,23%,100%,0.5,4/4/20,2,2,2,0.8421,0.9524,-1,-1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-3.3,1.87
109,3/7/20,"Las Vegas, Nevada, USA",Lightweight,Beneil Dariush,Drakkar Klose,30,31,1,0,0,70,72,69,70,22,17,3,8,6,4,3,1,0,1,0,13,11,4,0,7,1,0,0,1,1,0,Southpaw,Orthodox,1,0,3.87,49%,2.65,59%,1.8,33%,80%,1.1,3.89,53%,3.64,53%,1.56,30%,68%,0,4/4/20,-1,1,2,0.7727,0.8462,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-1.24,0.23
110,3/7/20,"Las Vegas, Nevada, USA",Welterweight,Jingliang Li,Neil Magny,31,32,0,0,0,72,71,75,80,22,17,7,5,5,5,0,1,4,0,0,29,21,7,3,11,8,3,4,1,0,0,Orthodox,Orthodox,1,0,4.51,42%,3.69,59%,1.32,39%,59%,0,3.93,46%,2.15,57%,2.7,47%,59%,0.3,4/4/20,-1,-3,-9,0.7727,0.7241,-1,5,-6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.24,2.36
111,3/7/20,"Las Vegas, Nevada, USA",Welterweight,Alex Oliveira,Max Griffin,32,34,1,0,0,71,76,71,76,31,20,12,5,3,8,1,4,3,1,2,22,15,7,2,6,7,1,0,6,0,0,Orthodox,Orthodox,1,0,2.88,50%,2.18,47%,2.69,37%,58%,0.6,3.87,49%,3.93,55%,1.9,55%,66%,0.5,4/4/20,-2,0,0,0.6452,0.6818,5,5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.69,-1.05
112,3/14/20,"Brasilia, Distrito Federal, Brazil",Lightweight,Kevin Lee,Charles Oliveira,27,30,0,0,1,69,77,70,74,23,18,3,8,7,5,1,2,2,0,0,37,28,8,18,2,8,4,3,1,0,1,Orthodox,Orthodox,1,1,3.9,42%,3.23,51%,3.21,43%,75%,0.8,3.27,51%,3.08,54%,2.61,42%,57%,2.8,4/7/20,-3,-1,3,0.7826,0.7568,8,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.04,0.82
113,3/14/20,"Brasilia, Distrito Federal, Brazil",Welterweight,Gilbert Burns,Demian Maia,33,42,1,1,1,70,71,71,72,20,17,5,8,4,3,1,0,2,0,0,37,28,3,14,11,9,1,0,8,0,0,Orthodox,Southpaw,1,0,3.13,44%,3.02,56%,2.39,38%,44%,0.7,1.82,43%,2.03,63%,2.55,26%,61%,1,4/7/20,-9,-1,-1,0.85,0.7568,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.2,1.1
114,3/14/20,"Brasilia, Distrito Federal, Brazil",Lightweight,Damir Hadžović,Renato Moicano,33,30,0,0,1,69,70,71,72,18,13,7,3,3,5,1,0,4,0,0,17,13,0,6,7,3,2,1,0,1,0,Orthodox,Orthodox,1,0,2.99,46%,2.99,66%,0.68,60%,39%,0.2,5.49,46%,3.67,66%,1.34,58%,76%,0.6,4/7/20,3,-2,-2,0.7222,0.7647,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-2.5,-0.68
115,3/14/20,"Brasilia, Distrito Federal, Brazil",Light Heavyweight,Nikita Krylov,Johnny Walker,28,27,1,0,1,75,77,78,82,33,26,11,15,0,7,1,5,1,0,0,21,17,14,2,1,4,3,1,0,0,0,Orthodox,Orthodox,1,0,4.54,59%,2.45,41%,1.4,38%,52%,1.6,4.01,70%,3.58,30%,0.43,100%,69%,1.3,4/7/20,1,-3,-5,0.7879,0.8095,2,4,-2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.56,0.96
116,3/14/20,"Brasilia, Distrito Federal, Brazil",Lightweight,John Makdessi,Francisco Trinaldo,34,41,0,0,1,68,68,69,70,23,17,9,0,8,6,2,1,3,0,0,31,24,8,5,11,7,0,3,4,0,0,Orthodox,Southpaw,1,0,5.36,51%,3.76,70%,0,0%,88%,0,3.13,43%,2.59,59%,1.02,44%,61%,0.5,4/7/20,-7,-1,-2,0.7391,0.7742,0,1,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.63,2.77
117,8/17/19,"Anaheim, California, USA",Heavyweight,Stipe Miocic,Daniel Cormier,36,40,1,0,1,76,80,71,72,21,18,14,0,4,3,2,0,1,0,0,24,22,10,5,7,1,0,0,1,0,1,Orthodox,Orthodox,1,1,4.95,52%,3.69,56%,2.2,37%,73%,0,4.25,52%,2.75,56%,1.95,44%,77%,0.5,4/12/20,-4,5,8,0.8571,0.9167,4,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.56,2.2
118,8/17/19,"Anaheim, California, USA",Welterweight,Anthony Pettis,Nate Diaz,32,34,0,0,1,70,72,72,76,30,22,11,7,4,8,2,1,5,0,0,32,20,5,12,3,11,1,1,9,0,0,Orthodox,Southpaw,1,0,2.97,46%,3.48,53%,0.67,54%,58%,1.2,4.62,45%,3.78,53%,1.19,30%,42%,1.4,4/12/20,-2,-2,-4,0.7333,0.625,2,4,-2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1.14,-0.81
119,8/17/19,"Anaheim, California, USA",Middleweight,Paulo Costa,Yoel Romero,28,42,1,0,0,73,72,72,73,12,12,11,1,0,0,0,0,0,0,0,16,13,11,0,2,3,1,0,2,0,0,Orthodox,Southpaw,1,0,8.43,57%,6.84,53%,0,0%,80%,0,3.44,49%,3.05,60%,1.57,30%,78%,0,4/12/20,-14,1,-1,1,0.8125,-1,1,-2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3.4,5.38
120,8/17/19,"Anaheim, California, USA",Featherweight,Gabriel Benítez,Sodiq Yusuff,31,26,0,0,0,68,71,69,71,28,21,7,10,4,7,1,2,4,0,0,10,9,5,0,4,1,1,0,0,0,0,Southpaw,Orthodox,1,0,4.32,41%,2.93,71%,0.21,100%,56%,1.5,6.1,49%,4.06,58%,0,0%,72%,0.3,4/12/20,5,-1,0,0.75,0.9,3,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-3.17,0.26
121,8/17/19,"Anaheim, California, USA",Middleweight,Derek Brunson,Ian Heinisch,35,31,1,0,0,73,77,71,72,26,19,11,3,5,7,5,0,2,0,0,14,13,4,2,7,1,0,1,0,0,0,Southpaw,Orthodox,1,0,3.39,45%,2.91,54%,2.8,29%,100%,0.5,3.38,50%,2.86,59%,1.18,19%,62%,0.5,4/12/20,4,2,5,0.7308,0.9286,4,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.47,0.53
122,8/10/19,"Montevideo, Uruguay",Women's Flyweight,Liz Carmouche,Valentina Shevchenko,35,31,0,0,0,66,66,65,66,19,13,6,2,5,6,0,2,4,0,0,20,17,5,7,5,3,1,0,2,0,0,Orthodox,Southpaw,1,1,2.78,54%,2.51,61%,2.57,51%,65%,0.3,3.06,50%,2.12,63%,2.09,54%,77%,0.4,4/15/20,4,1,0,0.6842,0.85,0,1,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.55,0.66
123,8/10/19,"Montevideo, Uruguay",Welterweight,Vicente Luque,Mike Perry,27,27,1,0,0,71,75,70,71,23,16,9,6,1,6,0,2,4,1,0,17,13,11,0,2,4,0,1,3,0,0,Orthodox,Orthodox,1,0,5.18,53%,5.34,51%,0.82,50%,64%,1,4.27,47%,4.5,57%,0.61,41%,70%,0,4/15/20,0,1,4,0.6957,0.7647,4,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.07,0.68
124,8/10/19,"Montevideo, Uruguay",Featherweight,Humberto Bandenay,Luiz Eduardo Garagorri,24,30,0,0,1,71,71,69,70,21,14,5,6,3,6,1,4,1,0,1,12,12,4,6,2,0,0,0,0,0,0,Southpaw,Orthodox,1,0,2.22,41%,4.79,41%,2.9,46%,62%,0.5,3.75,54%,2.22,60%,0.79,100%,53%,0,4/19/20,-6,2,1,0.6667,1,0,1,-1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.04,0
125,8/10/19,"Montevideo, Uruguay",Light Heavyweight,Volkan Oezdemir,Illir Latifi,29,36,1,0,0,74,75,70,73,19,15,11,1,3,4,1,2,1,0,0,22,15,6,5,4,6,3,0,3,0,1,Orthodox,Orthodox,1,0,4.88,45%,4.14,55%,0.39,22%,80%,0,2.01,40%,2.84,56%,2.02,32%,100%,0.4,4/19/20,-7,4,2,0.7895,0.6818,1,3,-2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.13,2.04
126,8/10/19,"Montevideo, Uruguay",Middleweight,Oskar Piechota,Rodolfo Vieira,29,29,0,0,0,72,76,72,73,13,11,5,5,1,1,0,1,0,1,0,5,5,1,4,0,0,0,0,0,0,0,Southpaw,Orthodox,1,0,3.19,55%,3.04,54%,0.76,50%,41%,1.9,1.85,46%,2.18,49%,6.05,55%,0%,2.4,4/19/20,0,0,3,0.8462,1,4,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.19,1.01
127,8/10/19,"Montevideo, Uruguay",Featherweight,Enrique Barzola,Bobby Moffett,30,39,1,0,0,67,70,70,73,21,16,5,4,7,4,0,0,4,1,0,18,14,1,9,4,4,1,0,3,0,0,Orthodox,Orthodox,1,0,3.91,41%,2.97,68%,4.2,45%,66%,0.3,3.41,39%,3.15,61%,2.74,66%,66%,1.4,4/19/20,-9,-3,-3,0.7619,0.7778,3,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.44,0.76
